 Table of Contents                                                                                        Page  
 CHAPTER 2: THE UNITED KINGDOM'S CONTRIBUTION TO                                                          p. 212
 ARTICLE 135: The United Kingdom's contribution to and participation                                      p. 212
 ARTICLE 136: Provisions applicable after 31 December 2020 in relation to own resources                   p. 213
 ARTICLE 137: The United Kingdom's participation in the implementation                                    p. 218
 ARTICLE 138: Union law applicable after 31 December 2020                                                 p. 220
 ARTICLE 139: Share of the United Kingdom                                                                 p. 222
 ARTICLE 140: Outstanding commitments                                                                     p. 223
 ARTICLE 141: Fines decided upon before or on 31 December 2020                                            p. 226
 ARTICLE 142: Union liabilities at the end of 2020                                                        p. 227
 ARTICLE 143: Contingent financial liabilities related to loans                                           p. 232
 ARTICLE 144: Financial instruments under direct or indirect implementation                               p. 241
 ARTICLE 145: The European Coal and Steel Community                                                       p. 245
 ARTICLE 146: Union investment in the EIF                                                                 p. 245
 ARTICLE 147: Contingent liabilities related to legal cases                                               p. 246
 ARTICLE 148: Payments after 2020                                                                         p. 247
 CHAPTER 3: EUROPEAN CENTRAL BANK                                                                         p. 250
 ARTICLE 149: Reimbursement of the paid-in capital                                                        p. 250
 CHAPTER 4: EUROPEAN INVESTMENT BANK                                                                      p. 251
 ARTICLE 150: Continued liability of the United Kingdom and reimbursement of the paid-in capital          p. 251
 ARTICLE 151: Participation of the United Kingdom in EIB group after the withdrawal date                  p. 259
 CHAPTER 5: EUROPEAN DEVELOPMENT FUND                                                                     p. 259
 ARTICLE 152: Participation in the European Development Fund                                              p. 260
 ARTICLE 153: Reuse of the decommitments                                                                  p. 262
 ARTICLE 154: The United Kingdom's guarantee under the successive EDF Internal Agreements                 p. 263
 CHAPTER 6: TRUST FUNDS AND FACILITY FOR REFUGEES IN TURKEY                                               p. 264
 ARTICLE 155: Commitments toward the Trust Funds and the Facility for Refugees in Turkey                  p. 264
 CHAPTER 7: AGENCIES OF THE COUNCIL AND COMMON SECURITY                                                   p. 265
 ARTICLE 156: The United Kingdom's obligations from the date of entry into force of this Agreement        p. 266
 ARTICLE 157: The United Kingdom's obligations after 31 December 2020                                     p. 267
 PART SIX: INSTITUTIONAL AND FINAL PROVISIONS                                                             p. 268
 TITLE I: CONSISTENT INTERPRETATION AND APPLICATION                                                       p. 268
 ARTICLE 158: References to the Court of Justice of the European Union concerning Part Two                p. 268
 ARTICLE 159: Monitoring of the implementation and application of Part Two                                p. 270
 ARTICLE 160: Jurisdiction of the Court of Justice of the European Union                                  p. 271
 ARTICLE 161: Procedures before the Court of Justice of the European Union                                p. 271
 ARTICLE 162: Participation of the European Commission in cases pending in the United Kingdom             p. 273
 ARTICLE 163: Regular dialogue and exchange of information                                                p. 273
 TITLE II: INSTITUTIONAL PROVISIONS                                                                       p. 274
 ARTICLE 164: Joint Committee                                                                             p. 274
 ARTICLE 165: Specialised committees                                                                      p. 277
 ARTICLE 166: Decisions and recommendations                                                               p. 279
 TITLE III: DISPUTE SETTLEMENT                                                                            p. 280
 ARTICLE 167: Cooperation                                                                                 p. 280
 ARTICLE 168: Exclusivity                                                                                 p. 280
 ARTICLE 169: Consultations and communications within the Joint Committee                                 p. 281
 ARTICLE 170: Initiation of the arbitration procedure                                                     p. 281
 ARTICLE 171: Establishment of the arbitration panel                                                      p. 282
 ARTICLE 172: Rules of procedure                                                                          p. 285
 ARTICLE 173: Time-frame of the procedure before the arbitration panel                                    p. 285
 ARTICLE 174: Disputes raising questions of Union law                                                     p. 286
 ARTICLE 175: Compliance with the arbitration panel ruling                                                p. 288
 ARTICLE 176: Reasonable period of time for compliance                                                    p. 288
 ARTICLE 177: Review of any measure taken to comply with the arbitration panel ruling                     p. 289
 ARTICLE 178: Temporary remedies in case of non-compliance                                                p. 290
 ARTICLE 179: Review of any measure taken after temporary remedies                                        p. 293
 ARTICLE 180: Arbitration panel decisions and rulings                                                     p. 294
 ARTICLE 181: Members of an arbitration panel                                                             p. 295
 TITLE IV: FINAL PROVISIONS                                                                               p. 296
 ARTICLE 182: Protocols and Annexes                                                                       p. 296
 ARTICLE 183: Authentic texts and depositary                                                              p. 296
 ARTICLE 184: Negotiations on the future relationship                                                     p. 297
 ARTICLE 185: Entry into force and application                                                            p. 298
 ARTICLE 1: Objectives and relationship to subsequent agreement                                           p. 307
 ARTICLE 2: Subsequent agreement                                                                          p. 308
 ARTICLE 3: Extension of the transition period                                                            p. 308
 ARTICLE 4: Rights of individuals                                                                         p. 309
 ARTICLE 5: Common Travel Area                                                                            p. 309
 ARTICLE 6: Single customs territory, movement of goods                                                   p. 310
 ARTICLE 7: Protection of the UK internal market                                                          p. 313
 ARTICLE 8: Technical regulations, assessments, registrations, certificates, approvals and authorisations p. 314
 ARTICLE 9: VAT and excise                                                                                p. 316
 ARTICLE 10: Agriculture and environment                                                                  p. 317
 ARTICLE 11: Single electricity market                                                                    p. 317
 ARTICLE 12: State aid                                                                                    p. 317
 ARTICLE 13: Other areas of North-South cooperation                                                       p. 319
 ARTICLE 14: Implementation, application, supervision and enforcement                                     p. 319
 ARTICLE 15: Common provisions                                                                            p. 321
 ARTICLE 16: Specialised Committee                                                                        p. 325
 ARTICLE 17: Joint consultative working group                                                             p. 326
 ARTICLE 18: Safeguards                                                                                   p. 328
 ARTICLE 19: Protection of financial interests                                                            p. 329
 ARTICLE 20: Review                                                                                       p. 329
 ARTICLE 21: Annexes                                                                                      p. 330
 ARTICLE 1: Scope                                                                                         p. 333
 ARTICLE 2: Trade between the parts of the single customs territory                                       p. 334
 ARTICLE 3: Customs Tariff applicable to trade with third countries                                       p. 337
 ARTICLE 4: Commercial policy                                                                             p. 338
 ARTICLE 5: Administrative cooperation                                                                    p. 339
 ARTICLE 6: Specific remedies                                                                             p. 340
 ARTICLE 1: Application of Customs Codes                                                                  p. 341
 ARTICLE 2: Formalities in respect of point (c) of Article 1(1) of Annex 2                                p. 341
 ARTICLE 3: Documentary evidence                                                                          p. 342
 ARTICLE 4: A. UK. Movement certificate                                                                   p. 343
 ARTICLE 5: A. UK. movement certificates issued retrospectively                                           p. 346
 ARTICLE 6: Submission of A. UK. movement certificates                                                    p. 347
 ARTICLE 7: Replacement of A. UK. movement certificates                                                   p. 348
 ARTICLE 8: Administrative cooperation                                                                    p. 348
 ARTICLE 9: Verification of A. UK. movement certificates                                                  p. 349
 ARTICLE 10: Disputes relating to the verification procedure                                              p. 350
 ARTICLE 11: Penalties                                                                                    p. 351
 ARTICLE 12: Provisions concerning the goods brought by travellers                                        p. 352
 ARTICLE 13: Postal consignments                                                                          p. 352
 PART ONE: TAXATION                                                                                       p. 354
 ARTICLE 1: Taxation                                                                                      p. 354
 PART TWO: ENVIRONMENTAL PROTECTION                                                                       p. 356
 ARTICLE 2: Non-regression in the level of environmental protection                                       p. 356
 ARTICLE 3: Monitoring and enforcement related to environmental protection                                p. 359
 PART THREE: LABOUR AND SOCIAL STANDARDS                                                                  p. 360
 ARTICLE 4: Non-regression of labour and social standards                                                 p. 360
 ARTICLE 5: Multilateral labour and social standards and agreements                                       p. 361
 ARTICLE 6: Monitoring and enforcement of labour and social standards                                     p. 362
 PART FOUR: STATE AID                                                                                     p. 363
 ARTICLE 7: State aid                                                                                     p. 363
 ARTICLE 8: Procedures referred to in Article 7(2)                                                        p. 364
 ARTICLE 9: Independent authority                                                                         p. 365
 ARTICLE 10: Cooperation                                                                                  p. 366
 ARTICLE 11: Courts and tribunals of the United Kingdom                                                   p. 368
 ARTICLE 12: Transparency                                                                                 p. 369
 ARTICLE 13: Consultations                                                                                p. 370
 ARTICLE 14: Interim measures                                                                             p. 371
 ARTICLE 15: Coordination                                                                                 p. 372
 PART FIVE: COMPETITION                                                                                   p. 373
 ARTICLE 16: Principles                                                                                   p. 373
 ARTICLE 17: Agreements between undertakings                                                              p. 374
 ARTICLE 18: Abuse of a dominant position                                                                 p. 375
 ARTICLE 19: Concentrations of undertakings                                                               p. 376
 ARTICLE 20: Public undertakings, undertakings granted special or exclusive rights or privileges,         p. 377
 ARTICLE 21: Interpretation                                                                               p. 378
 ARTICLE 22: Implementation                                                                               p. 378
 ARTICLE 23: Cooperation                                                                                  p. 379
 ARTICLE 24: Monitoring and dispute settlement                                                            p. 380
 PART SIX: STATE-OWNED UNDERTAKINGS, UNDERTAKINGS GRANTED SPECIAL RIGHTS                                  p. 381
 ARTICLE 25: Neutral regulation                                                                           p. 381
 ARTICLE 1: General provisions                                                                            p. 481
 ARTICLE 2: Customs territory of the Union                                                                p. 483
 ARTICLE 3: Taxation                                                                                      p. 486
 ARTICLE 4: Duty relief                                                                                   p. 487
 ARTICLE 5: Social security                                                                               p. 488
 ARTICLE 6: Agriculture, fisheries and veterinary and phytosanitary rules                                 p. 488
 ARTICLE 7: Checks on persons crossing the external borders of the Sovereign Base Areas                   p. 489
 ARTICLE 8: Cooperation                                                                                   p. 492
 ARTICLE 9: Specialised Committee                                                                         p. 492
 ARTICLE 10: Joint Committee                                                                              p. 493
 ARTICLE 11: Operation of Article 6 of Protocol No 3 during the transition period                         p. 494
 ARTICLE 12: Supervision and enforcement                                                                  p. 494
 ARTICLE 13: Responsibility for implementation                                                            p. 495
 ARTICLE 1: Citizens' rights                                                                              p. 499
 ARTICLE 2: Air transport law                                                                             p. 500
 ARTICLE 3: Fiscal matters and protection of financial interests                                          p. 500
 ARTICLE 4: Environment protection and fishing                                                            p. 502
 ARTICLE 5: Cooperation in police and customs matters                                                     p. 502
 ARTICLE 6: Tasks of the Specialised Committee                                                            p. 503
 PART I: DECISIONS AND RECOMMENDATIONS OF THE ADMINISTRATIVE COMMISSION                                   p. 505
 PART II: ACTS REFERRED TO                                                                                p. 512
 PART III: ADAPTATIONS TO REGULATION (EC) NO 883/2004                                                     p. 515
 PART A: RULES OF PROCEDURE FOR DISPUTE SETTLEMENT                                                        p. 569
 PART B: CODE OF CONDUCT FOR MEMBERS OF ARBITRATION PANELS                                                p. 581
